îNåé,è§ïi,êîó ,íËâøîÑè„,îÑè„çÇ,îÑè„å¥âø
202007,MK-Z,20,1340,610.54,600
202007,UD-T,31,4557,378,1891
202007,SI-S,42,1638,301.84,672
202007,HF-O,43,817,683.52,344
202007,IX-U,20,760,718.2,280
202007,SE-Z,48,1008,245,432
202007,YV-U,5,305,288.8,100
202007,CD-C,5,130,130,50
202007,NO-A,49,490,465.5,196
202007,NE-N,26,572,551.74,234
202007,FK-T,7,483,463.68,196
202007,SR-C,25,200,194,75
202007,PL-U,46,874,829.35,368
202007,LR-J,44,176,188.1,88
202007,XD-S,43,559,566.28,215
202007,VK-Y,34,204,201.4,68
202007,GC-S,33,429,428.74,165
202007,ZQ-A,47,282,274.4,94
202007,WW-C,33,627,590.4,264
202007,BX-Z,43,602,582.97,258
202007,NJ-O,47,799,753.6,329
202007,LL-V,39,117,114.46,39
202007,YV-E,32,672,650.87,224
202007,YY-F,24,480,480,168
202007,NW-V,9,162,158.4,72
202007,LY-M,7,91,87.3,35
202007,JG-H,25,225,228.34,100
202007,CF-U,46,506,483.55,184
202007,RR-G,43,430,429.71,172
202007,DG-X,34,714,693.5,272
202007,DZ-Z,38,646,626.05,266
202007,AX-C,48,336,309.68,96
202007,LI-J,23,391,361.95,138
202007,SQ-R,19,361,348.65,152
202007,XK-E,49,588,568,245
202007,EP-X,28,420,427.68,168
202007,NQ-C,38,722,704.64,304
202007,QJ-U,36,180,180.42,72
202007,NY-R,5,280,272.57,105
202007,KD-W,7,406,394.94,140
202007,FG-M,16,768,763,320
202007,VB-E,50,500,524,250
202007,DG-U,30,150,144.06,60
202007,CM-O,16,176,171.27,64
202007,NP-L,6,504,480.7,204
202007,HT-L,12,900,898,312
202007,FO-I,21,777,741.12,294
202007,FL-Y,39,78,91.2,39
202007,OV-D,36,792,787,324
202007,XL-P,41,697,672.96,246
202007,GB-G,29,174,177,87
202007,XP-C,7,777,740.05,336
202007,EK-B,20,520,508.8,200
202007,RI-E,47,282,298.98,141
202007,BJ-U,39,741,733.59,273
202007,NA-L,47,611,611.52,235
202007,TM-C,39,312,316.54,117
202007,YP-L,13,312,314.82,130
202007,QH-U,32,256,243.84,96
202007,HC-E,49,882,836.14,343
202007,FI-Q,44,308,284.2,132
202007,YT-X,9,837,822.22,324
202007,FO-X,26,754,714.4,312
202007,BG-F,27,189,175.68,81
202007,NN-S,27,1134,110,378
202007,VK-K,21,210,215,105
202007,XZ-H,20,180,176.22,60
202007,CH-Z,21,483,477.18,189
202007,GZ-T,38,798,763.39,342
202007,QR-Q,35,490,214.37,210
202007,NQ-L,15,255,248.9,105
202007,UK-E,34,544,530,204
202007,KF-M,19,209,213,95
202007,PG-L,42,378,345.8,126
202007,EO-C,5,345,339.57,130
202007,JF-A,17,884,885,357
202007,TI-Q,11,704,672,242
202007,HU-T,15,855,832.26,315
202007,OW-X,21,609,581.76,252
202007,IQ-K,49,490,498.82,245
202007,QT-Y,12,852,807.5,300
202007,NF-K,26,728,708.84,286
202007,UJ-C,35,385,358.15,175
202007,PM-O,29,290,282.15,116
202007,YI-D,7,441,429.24,161
202007,BF-U,8,800,768.96,312
202007,IV-T,46,460,459.36,184
202007,UQ-N,24,864,875,384
202007,QT-R,10,90,88.32,40
202007,TS-G,45,450,462,180
202007,WN-J,14,868,870,378
202007,NX-U,16,832,828,304
202007,TI-G,27,324,315.81,108
202007,KG-L,42,462,451.44,168
202007,WC-F,12,648,646,276
202007,LA-N,23,690,682.11,253
202007,PP-I,9,243,243.54,81
202007,GD-L,47,470,479,188
202007,PZ-J,14,392,386.12,168
202007,DV-J,50,1197,1005.48,395
202007,TQ-V,11,158,134.3,54
202007,BY-U,13,884,777.92,292
202007,QL-F,6,2465,2292.45,937
202007,LZ-Q,49,1140,1014.6,353
202007,FQ-H,40,2245,2042.95,741
202007,PS-Z,33,1699,1529.1,680
202007,VW-C,30,122,109.8,44
202007,EW-O,42,2202,2113.92,727
202007,SA-F,13,408,383.52,106
202007,RW-F,14,417,391.98,154
202007,EE-A,22,499,434.13,160
202007,EK-Q,26,1992,1812.72,797
202007,GN-L,50,647,627.59,194
202007,BK-V,45,365,299.3,135
202007,PT-E,11,1133,963.05,329
202007,JV-O,27,1679,1595.05,655
202007,IS-Q,37,2225,1958,668
202007,VB-B,21,667,646.99,253
202007,HQ-D,17,1459,1386.05,584
202007,ZI-Q,45,885,823.05,319
202007,HM-W,39,1917,1610.28,709
202007,OM-Z,48,1379,1158.36,441
202007,JT-U,45,1991,1652.53,597
202007,CI-X,24,270,234.9,97
202007,YD-P,12,1025,850.75,379
202007,LE-A,38,2147,1953.77,751
202007,FY-E,32,690,586.5,179
202007,TU-S,9,1190,999.6,476
202007,MN-V,34,312,302.64,94
202007,JN-Y,5,2172,2041.68,760
202007,WC-U,18,1125,922.5,383
202007,IR-F,46,1303,1185.73,339
202007,FE-T,34,1008,836.64,302
202007,LW-N,39,604,543.6,236
202007,PO-P,11,1372,1193.64,521
202007,OY-H,48,764,672.32,214
202007,XI-C,38,572,480.48,206
202007,AE-M,48,1991,1632.62,737
202007,OS-D,5,747,709.65,284
202007,VD-Y,6,421,349.43,126
202007,VU-S,13,1774,1578.86,479
202007,ON-P,6,965,926.4,299
202007,ZO-K,44,1365,1146.6,369
202007,QA-Q,42,1501,1245.83,390
202007,BU-B,45,106,94.34,32
202007,OD-V,26,2230,1940.1,558
202007,IM-S,29,551,528.96,176
202007,IL-B,13,2013,1670.79,745
202007,JW-M,30,2212,2057.16,641
202007,EF-N,34,398,338.3,103
202007,RK-M,33,2249,1934.14,742
202007,LT-W,26,1099,1033.06,297
202007,ZG-H,16,1902,1673.76,704
202007,AE-J,19,948,834.24,294
202007,MH-R,35,2061,1854.9,515
202007,SC-R,9,154,129.36,48
202007,PU-X,30,832,732.16,283
202007,JO-O,32,2408,2070.88,891
202007,IK-M,49,167,150.3,65
202007,CL-U,19,1421,1250.48,426
202007,GK-K,44,934,765.88,243
202007,AC-H,44,651,624.96,247
202007,TE-W,14,779,755.63,203
202007,YH-X,40,1104,1037.76,331
202007,NR-B,35,223,185.09,83
202007,HP-U,31,611,519.35,165
202007,UH-B,47,2020,1838.2,808
202007,LY-G,14,2244,1952.28,583
202007,MC-O,27,616,572.88,191
202007,OJ-C,34,1425,1339.5,385
202007,ML-V,36,1630,1515.9,440
202007,KA-O,7,1013,830.66,334
202007,PL-D,14,2270,1997.6,908
202007,HG-K,5,1158,995.88,382
202007,UJ-L,7,655,537.1,190
